Level 1,Level 2,Level 3,Level 4,Case Scenario,Change Step Type,Target level 1,Target level 2,Target level 3,Target level 4
南投縣,南投市,八卦路,,Add,Division Adjustment 1,,,,
南投縣,南投市,八德路,,Add,Division Adjustment 1,,,,
南投縣,南投市,力行一街,,Add,Division Adjustment 1,,,,
南投縣,南投市,力行二街,,Add,Division Adjustment 1,,,,
南投縣,南投市,力行三街,,Add,Division Adjustment 1,,,,
南投縣,南投市,力行五街,,Add,Division Adjustment 1,,,,
南投縣,南投市,力行街,,Add,Division Adjustment 1,,,,
南投縣,南投市,三和一路,,Add,Division Adjustment 1,,,,
南投縣,南投市,三和二路,,Add,Division Adjustment 1,,,,
南投縣,南投市,三和二路一街,,Add,Division Adjustment 1,,,,
南投縣,南投市,三和二路二街,,Add,Division Adjustment 1,,,,
南投縣,南投市,三和三路,,Add,Division Adjustment 1,,,,
南投縣,南投市,下庄巷,,Add,Division Adjustment 1,,,,
南投縣,南投市,千和路,,Add,Division Adjustment 1,,,,
南投縣,南投市,千秋路,,Add,Division Adjustment 1,,,,
南投縣,南投市,大同南街,,Add,Division Adjustment 1,,,,
南投縣,南投市,大同街,,Add,Division Adjustment 1,,,,
南投縣,南投市,大庄路,,Add,Division Adjustment 1,,,,
南投縣,南投市,大埤街,,Add,Division Adjustment 1,,,,
南投縣,南投市,工業北一路,,Add,Division Adjustment 1,,,,
南投縣,南投市,工業北二路,,Add,Division Adjustment 1,,,,
南投縣,南投市,工業北三路,,Add,Division Adjustment 1,,,,
南投縣,南投市,工業北五路,,Add,Division Adjustment 1,,,,
南投縣,南投市,工業北六路,,Add,Division Adjustment 1,,,,
南投縣,南投市,工業北路,,Add,Division Adjustment 1,,,,
南投縣,南投市,工業東路,,Add,Division Adjustment 1,,,,
南投縣,南投市,工業南一路,,Add,Division Adjustment 1,,,,
南投縣,南投市,工業南七路,,Add,Division Adjustment 1,,,,
南投縣,南投市,工業南九路,,Add,Division Adjustment 1,,,,
南投縣,南投市,工業南二路,,Add,Division Adjustment 1,,,,
南投縣,南投市,工業南三路,,Add,Division Adjustment 1,,,,
南投縣,南投市,工業南五路,,Add,Division Adjustment 1,,,,
南投縣,南投市,工業南六路,,Add,Division Adjustment 1,,,,
南投縣,南投市,工業路,,Add,Division Adjustment 1,,,,
南投縣,南投市,中山一街,,Add,Division Adjustment 1,,,,
南投縣,南投市,中山南街,,Add,Division Adjustment 1,,,,
南投縣,南投市,中山街,,Add,Division Adjustment 1,,,,
南投縣,南投市,中正路,,Add,Division Adjustment 1,,,,
南投縣,南投市,中華路,,Add,Division Adjustment 1,,,,
南投縣,南投市,中學西路,,Add,Division Adjustment 1,,,,
南投縣,南投市,中學街,,Add,Division Adjustment 1,,,,
南投縣,南投市,中學路,,Add,Division Adjustment 1,,,,
南投縣,南投市,中興一路,,Add,Division Adjustment 1,,,,
南投縣,南投市,中興路,,Add,Division Adjustment 1,,,,
南投縣,南投市,中興路一街,,Add,Division Adjustment 1,,,,
南投縣,南投市,中興路二街,,Add,Division Adjustment 1,,,,
南投縣,南投市,仁心街,,Add,Division Adjustment 1,,,,
南投縣,南投市,仁和路,,Add,Division Adjustment 1,,,,
南投縣,南投市,仁政街,,Add,Division Adjustment 1,,,,
南投縣,南投市,仁智街,,Add,Division Adjustment 1,,,,
南投縣,南投市,仁愛路,,Add,Division Adjustment 1,,,,
南投縣,南投市,仁義南路,,Add,Division Adjustment 1,,,,
南投縣,南投市,仁義路,,Add,Division Adjustment 1,,,,
南投縣,南投市,仁德路,,Add,Division Adjustment 1,,,,
南投縣,南投市,內興路,,Add,Division Adjustment 1,,,,
南投縣,南投市,公所街,,Add,Division Adjustment 1,,,,
南投縣,南投市,公園南街,,Add,Division Adjustment 1,,,,
南投縣,南投市,公園街,,Add,Division Adjustment 1,,,,
南投縣,南投市,文化南路,,Add,Division Adjustment 1,,,,
南投縣,南投市,文化路,,Add,Division Adjustment 1,,,,
南投縣,南投市,文昌街,,Add,Division Adjustment 1,,,,
南投縣,南投市,文林路,,Add,Division Adjustment 1,,,,
南投縣,南投市,文獻路,,Add,Division Adjustment 1,,,,
南投縣,南投市,王井街,,Add,Division Adjustment 1,,,,
南投縣,南投市,平山一路,,Add,Division Adjustment 1,,,,
南投縣,南投市,平山一路一街,,Add,Division Adjustment 1,,,,
南投縣,南投市,平山一路二街,,Add,Division Adjustment 1,,,,
南投縣,南投市,平山一路三街,,Add,Division Adjustment 1,,,,
南投縣,南投市,平山一路四街,,Add,Division Adjustment 1,,,,
南投縣,南投市,平山二路,,Add,Division Adjustment 1,,,,
南投縣,南投市,平和街,,Add,Division Adjustment 1,,,,
南投縣,南投市,民生街,,Add,Division Adjustment 1,,,,
南投縣,南投市,民族路,,Add,Division Adjustment 1,,,,
南投縣,南投市,民權街,,Add,Division Adjustment 1,,,,
南投縣,南投市,永鳴路,,Add,Division Adjustment 1,,,,
南投縣,南投市,永興路,,Add,Division Adjustment 1,,,,
南投縣,南投市,永興路一街,,Add,Division Adjustment 1,,,,
南投縣,南投市,玉井街,,Add,Division Adjustment 1,,,,
南投縣,南投市,光明一路,,Add,Division Adjustment 1,,,,
南投縣,南投市,光明二路,,Add,Division Adjustment 1,,,,
南投縣,南投市,光明三路,,Add,Division Adjustment 1,,,,
南投縣,南投市,光明五路,,Add,Division Adjustment 1,,,,
南投縣,南投市,光明四路,,Add,Division Adjustment 1,,,,
南投縣,南投市,光明南路,,Add,Division Adjustment 1,,,,
南投縣,南投市,光明路,,Add,Division Adjustment 1,,,,
南投縣,南投市,光華二路,,Add,Division Adjustment 1,,,,
南投縣,南投市,光華二路一街,,Add,Division Adjustment 1,,,,
南投縣,南投市,光華二路二街,,Add,Division Adjustment 1,,,,
南投縣,南投市,光華十路,,Add,Division Adjustment 1,,,,
南投縣,南投市,光華三路,,Add,Division Adjustment 1,,,,
南投縣,南投市,光華五路,,Add,Division Adjustment 1,,,,
南投縣,南投市,光華六路,,Add,Division Adjustment 1,,,,
南投縣,南投市,光華四路,,Add,Division Adjustment 1,,,,
南投縣,南投市,光華四路一街,,Add,Division Adjustment 1,,,,
南投縣,南投市,光華路,,Add,Division Adjustment 1,,,,
